Customer_ID,Gender,Age,Region,Account_Type,Transaction_Date,Transaction_Type,Amount,Loan_Status,Credit_Score
11177,Male,59,East,Current,2024-12-31,Withdrawal,,Approved,460
14771,Female,21,East,Current,2023-02-16,EMI,76739.0,Rejected,749
11091,Female,66,North,Current,2023-09-30,Deposit,66039.0,Rejected,490
14818,Female,24,North,Current,2023-06-11,Withdrawal,50101.0,Rejected,431
14376,Male,34,West,Current,2023-05-26,EMI,35319.0,Rejected,315
10280,Female,35,East,Current,2024-04-27,Loan,7654.0,Approved,842
10997,Male,58,West,Current,2023-12-27,Loan,93166.0,Approved,613
10585,Female,43,West,Savings,2023-05-27,Withdrawal,78795.0,Default,861
11486,Male,20,East,Savings,2023-08-26,EMI,17820.0,Rejected,863
13927,Male,63,West,Current,2024-02-29,Deposit,33390.0,Rejected,618
12772,Male,69,North,Savings,2023-06-29,Deposit,13332.0,Rejected,629
13652,Male,44,North,Current,2024-12-07,Deposit,98204.0,Default,410
14417,Male,33,East,Savings,2024-03-01,Withdrawal,29185.0,Approved,634
14011,Female,29,North,Savings,2023-08-20,Loan,3634.0,Default,322
13945,Male,24,North,Current,2023-06-13,EMI,54768.0,Rejected,331
11613,Female,34,West,Savings,2023-01-15,Loan,77237.0,Default,569
13195,Female,67,East,Current,2023-01-28,Withdrawal,,Default,513
10473,Male,48,East,Current,2023-08-23,Deposit,49101.0,Rejected,833
14732,Male,29,North,Savings,2024-04-03,Withdrawal,4255.0,Approved,448
11581,Female,28,West,Current,2024-05-20,Loan,64177.0,Approved,744
10970,Male,59,South,Savings,2024-12-17,Deposit,1393.0,,342
12225,Female,60,South,Savings,2023-12-09,Withdrawal,9629.0,Rejected,688
13882,Female,21,South,Current,2024-05-20,Withdrawal,85194.0,Default,647
14392,Female,21,West,Current,2023-03-29,Deposit,79730.0,Rejected,737
10752,Male,26,North,Savings,2024-06-29,Loan,13698.0,Approved,621
14412,Female,64,West,Current,2024-02-25,Withdrawal,60502.0,Default,786
10735,Female,34,South,Current,2023-05-28,Deposit,76768.0,Default,849
10764,Female,62,,Current,2023-02-16,Withdrawal,12137.0,Rejected,523
13936,Female,33,West,Savings,2023-04-08,Deposit,60976.0,Rejected,595
14948,Female,18,West,Savings,2023-01-17,Withdrawal,52955.0,Approved,795
11127,Female,33,East,Savings,2023-02-06,Withdrawal,72627.0,Default,812
13581,Male,63,North,Savings,2024-04-27,EMI,26617.0,Approved,866
13981,Female,57,East,Savings,2024-12-02,Deposit,26839.0,Rejected,386
14587,Male,42,East,Savings,2023-08-09,EMI,59565.0,Rejected,737
13287,Female,69,East,Savings,2023-11-05,EMI,88472.0,Approved,790
10945,Male,68,West,Current,2023-10-18,EMI,12049.0,Rejected,366
14199,Male,59,North,Current,2023-04-03,EMI,66544.0,Default,700
12407,Female,62,West,Current,2024-01-24,EMI,7214.0,Default,632
12719,Male,60,East,Current,2024-11-15,EMI,8636.0,Rejected,881
14350,Male,20,South,Savings,2024-04-20,Withdrawal,7780.0,Approved,712
10347,Male,50,South,Current,2024-12-14,Loan,17306.0,Default,843
11421,Male,39,,Current,2024-04-28,Withdrawal,,Default,558
10472,Female,28,South,Savings,2023-05-02,Deposit,78090.0,Approved,682
11262,Male,46,South,Savings,2023-10-05,Deposit,85661.0,Approved,372
13810,Female,59,South,Savings,2023-12-12,Deposit,61035.0,,647
13883,Male,35,West,Savings,2023-06-25,EMI,29443.0,Rejected,886
12347,Male,44,West,Current,2023-04-05,Withdrawal,5409.0,Rejected,727
12003,Female,40,North,Current,2023-10-21,Deposit,6274.0,Approved,592
14344,Male,42,North,Savings,2024-11-19,EMI,27328.0,Rejected,864
14010,Female,35,West,Savings,2024-11-02,Loan,42104.0,Approved,307
14897,Male,41,South,Savings,2023-12-21,Withdrawal,46041.0,Approved,626
11050,Male,45,East,Savings,2024-08-13,Deposit,45390.0,,341
