Customer_ID,Gender,Age,Region,Account_Type,Transaction_Date,Transaction_Type,Amount,Loan_Status,Credit_Score,year,month,day,age_group,amount_levl,Txn_Flow,Region_Encoded
11177,Male,59,East,Current,2024-12-31,Withdrawal,0.0,Approved,460,2024,12,31,middle_age,low,Debit,1
14771,Female,21,East,Current,2023-02-16,EMI,76739.0,Rejected,749,2023,2,16,young,high,Debit,1
11091,Female,66,North,Current,2023-09-30,Deposit,66039.0,Rejected,490,2023,9,30,senior,high,Credit,2
14818,Female,24,North,Current,2023-06-11,Withdrawal,50101.0,Rejected,431,2023,6,11,young,high,Debit,2
14376,Male,34,West,Current,2023-05-26,EMI,35319.0,Rejected,315,2023,5,26,adult,medium,Debit,4
10280,Female,35,East,Current,2024-04-27,Loan,7654.0,Approved,842,2024,4,27,adult,low,Credit,1
10997,Male,58,West,Current,2023-12-27,Loan,93166.0,Approved,613,2023,12,27,middle_age,high,Credit,4
10585,Female,43,West,Savings,2023-05-27,Withdrawal,78795.0,Default,861,2023,5,27,middle_age,high,Debit,4
11486,Male,20,East,Savings,2023-08-26,EMI,17820.0,Rejected,863,2023,8,26,young,medium,Debit,1
13927,Male,63,West,Current,2024-02-29,Deposit,33390.0,Rejected,618,2024,2,29,senior,medium,Credit,4
12772,Male,69,North,Savings,2023-06-29,Deposit,13332.0,Rejected,629,2023,6,29,senior,medium,Credit,2
13652,Male,44,North,Current,2024-12-07,Deposit,98204.0,Default,410,2024,12,7,middle_age,high,Credit,2
14417,Male,33,East,Savings,2024-03-01,Withdrawal,29185.0,Approved,634,2024,3,1,adult,medium,Debit,1
14011,Female,29,North,Savings,2023-08-20,Loan,3634.0,Default,322,2023,8,20,adult,low,Credit,2
13945,Male,24,North,Current,2023-06-13,EMI,54768.0,Rejected,331,2023,6,13,young,high,Debit,2
11613,Female,34,West,Savings,2023-01-15,Loan,77237.0,Default,569,2023,1,15,adult,high,Credit,4
13195,Female,67,East,Current,2023-01-28,Withdrawal,0.0,Default,513,2023,1,28,senior,low,Debit,1
10473,Male,48,East,Current,2023-08-23,Deposit,49101.0,Rejected,833,2023,8,23,middle_age,medium,Credit,1
14732,Male,29,North,Savings,2024-04-03,Withdrawal,4255.0,Approved,448,2024,4,3,adult,low,Debit,2
11581,Female,28,West,Current,2024-05-20,Loan,64177.0,Approved,744,2024,5,20,adult,high,Credit,4
10970,Male,59,South,Savings,2024-12-17,Deposit,1393.0,0,342,2024,12,17,middle_age,low,Credit,3
12225,Female,60,South,Savings,2023-12-09,Withdrawal,9629.0,Rejected,688,2023,12,9,middle_age,low,Debit,3
13882,Female,21,South,Current,2024-05-20,Withdrawal,85194.0,Default,647,2024,5,20,young,high,Debit,3
14392,Female,21,West,Current,2023-03-29,Deposit,79730.0,Rejected,737,2023,3,29,young,high,Credit,4
10752,Male,26,North,Savings,2024-06-29,Loan,13698.0,Approved,621,2024,6,29,adult,medium,Credit,2
14412,Female,64,West,Current,2024-02-25,Withdrawal,60502.0,Default,786,2024,2,25,senior,high,Debit,4
10735,Female,34,South,Current,2023-05-28,Deposit,76768.0,Default,849,2023,5,28,adult,high,Credit,3
